Genome,Genome ID,Accession,BRC ID,RefSeq Locus Tag,Alt Locus Tag,Feature ID,Annotation,Feature Type,Start,End,Length,Strand,FIGfam ID,PATRIC genus-specific families (PLfams),PATRIC cross-genus families (PGfams),Protein ID,AA Length,Gene Symbol,Product,GO
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.417",,,"PATRIC.562.123410.562.123410.con.0001.CDS.435523.435972.fwd","PATRIC","CDS",435523,435972,450,"+",,"PLF_561_00002500","PGF_00025698",,149,,"Nitrate reductase cytochrome c550-type subunit",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.418",,,"PATRIC.562.123410.562.123410.con.0001.CDS.435982.436584.fwd","PATRIC","CDS",435982,436584,603,"+",,"PLF_561_00002814","PGF_00420526",,200,,"Cytochrome c-type protein NapC",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.419",,,"PATRIC.562.123410.562.123410.con.0001.CDS.436603.437220.fwd","PATRIC","CDS",436603,437220,618,"+",,"PLF_561_00002861","PGF_04565471",,205,,"ABC transporter involved in cytochrome c biogenesis, ATPase component CcmA",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.420",,,"PATRIC.562.123410.562.123410.con.0001.CDS.437217.437879.fwd","PATRIC","CDS",437217,437879,663,"+",,"PLF_561_00002465","PGF_00565351",,220,,"ABC transporter involved in cytochrome c biogenesis, CcmB subunit",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.421",,,"PATRIC.562.123410.562.123410.con.0001.CDS.437921.438658.fwd","PATRIC","CDS",437921,438658,738,"+",,"PLF_561_00002626","PGF_00420482",,245,,"Cytochrome c-type biogenesis protein CcmC, putative heme lyase for CcmE",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.422",,,"PATRIC.562.123410.562.123410.con.0001.CDS.438655.438864.fwd","PATRIC","CDS",438655,438864,210,"+",,"PLF_561_00003033","PGF_02189744",,69,,"Cytochrome c-type biogenesis protein CcmD, interacts with CcmCE",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.423",,,"PATRIC.562.123410.562.123410.con.0001.CDS.438861.439340.fwd","PATRIC","CDS",438861,439340,480,"+",,"PLF_561_00003051","PGF_04630848",,159,,"Cytochrome c-type biogenesis protein CcmE, heme chaperone",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.424",,,"PATRIC.562.123410.562.123410.con.0001.CDS.439337.441280.fwd","PATRIC","CDS",439337,441280,1944,"+",,"PLF_561_00003068","PGF_00420496",,647,,"Cytochrome c heme lyase subunit CcmF",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.425",,,"PATRIC.562.123410.562.123410.con.0001.CDS.441277.441834.fwd","PATRIC","CDS",441277,441834,558,"+",,"PLF_561_00002627","PGF_03348128",,185,,"Cytochrome c-type biogenesis protein CcmG/DsbE, thiol:disulfide oxidoreductase",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.426",,,"PATRIC.562.123410.562.123410.con.0001.CDS.441831.442883.fwd","PATRIC","CDS",441831,442883,1053,"+",,"PLF_561_00000743","PGF_00420346",,350,,"Cytochrome c heme lyase subunit CcmL / Cytochrome c heme lyase subunit CcmH",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.427",,,"PATRIC.562.123410.562.123410.con.0001.CDS.442918.443565.rev","PATRIC","CDS",442918,443565,648,"-",,"PLF_561_00002501","PGF_00025710",,215,,"Nitrate/nitrite response regulator protein NarP",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.428",,,"PATRIC.562.123410.562.123410.con.0001.CDS.443885.444088.fwd","PATRIC","CDS",443885,444088,204,"+",,"PLF_561_00000048","PGF_00064841",,67,,"Uncharacterized outer membrane protein YejO",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.46",,,"PATRIC.562.123410.562.123410.con.0001.CDS.44411.45604.rev","PATRIC","CDS",44411,45604,1194,"-",,"PLF_561_00000425","PGF_00039530",,397,,"Putative NAGC-like transcriptional regulator",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.429",,,"PATRIC.562.123410.562.123410.con.0001.CDS.444197.444682.fwd","PATRIC","CDS",444197,444682,486,"+",,"PLF_561_00000048","PGF_00064841",,161,,"Uncharacterized outer membrane protein YejO",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.430",,,"PATRIC.562.123410.562.123410.con.0001.CDS.444935.446695.rev","PATRIC","CDS",444935,446695,1761,"-",,"PLF_561_00001070","PGF_00014144",,586,,"Inner membrane protein YejM, alkaline phosphatase superfamily",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.431",,,"PATRIC.562.123410.562.123410.con.0001.CDS.446715.446942.rev","PATRIC","CDS",446715,446942,228,"-",,"PLF_561_00001790","PGF_03824105",,75,,"UPF0352 protein YejL",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.432",,,"PATRIC.562.123410.562.123410.con.0001.CDS.446963.447079.fwd","PATRIC","CDS",446963,447079,117,"+",,"PLF_561_00003370","PGF_00269293",,38,,"hypothetical protein",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.433",,,"PATRIC.562.123410.562.123410.con.0001.CDS.447124.448131.fwd","PATRIC","CDS",447124,448131,1008,"+",,"PLF_561_00002419","PGF_00026349",,335,,"Nucleoid-associated protein NdpA",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.434",,,"PATRIC.562.123410.562.123410.con.0001.CDS.448270.448554.rev","PATRIC","CDS",448270,448554,285,"-",,"PLF_561_00002197","PGF_07051332",,94,,"LSU ribosomal protein L25p",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.435",,,"PATRIC.562.123410.562.123410.con.0001.CDS.448679.450439.rev","PATRIC","CDS",448679,450439,1761,"-",,"PLF_561_00001171","PGF_00421447",,586,,"ATP-dependent RNA helicase YejH",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.436",,,"PATRIC.562.123410.562.123410.con.0001.CDS.450589.451284.fwd","PATRIC","CDS",450589,451284,696,"+",,"PLF_561_00002019","PGF_09626318",,231,,"SSU rRNA pseudouridine(516) synthase (EC 5.4.99.19)",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.437",,,"PATRIC.562.123410.562.123410.con.0001.CDS.451312.452502.fwd","PATRIC","CDS",451312,452502,1191,"+",,"PLF_561_00000954","PGF_00502483",,396,,"Multidrug resistance transporter => Bicyclomycin resistance protein Bcr-1",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.438",,,"PATRIC.562.123410.562.123410.con.0001.CDS.452836.453180.fwd","PATRIC","CDS",452836,453180,345,"+",,"PLF_561_00002149","PGF_00065521",,114,,"Uncharacterized protein YejG",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.439",,,"PATRIC.562.123410.562.123410.con.0001.CDS.453184.454773.rev","PATRIC","CDS",453184,454773,1590,"-",,"PLF_561_00001327","PGF_00003452",,529,,"ABC transporter, ATP-binding protein YejF",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.440",,,"PATRIC.562.123410.562.123410.con.0001.CDS.454775.455800.rev","PATRIC","CDS",454775,455800,1026,"-",,"PLF_561_00000950","PGF_09833499",,341,,"ABC transporter, permease protein YejE",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.441",,,"PATRIC.562.123410.562.123410.con.0001.CDS.455800.456894.rev","PATRIC","CDS",455800,456894,1095,"-",,"PLF_561_00000655","PGF_00005252",,364,,"ABC transporter, permease protein YejB",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.442",,,"PATRIC.562.123410.562.123410.con.0001.CDS.456895.458709.rev","PATRIC","CDS",456895,458709,1815,"-",,"PLF_561_00000448","PGF_00005935",,604,,"ABC transporter, substrate-binding protein YejA",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.47",,,"PATRIC.562.123410.562.123410.con.0001.CDS.45722.49003.fwd","PATRIC","CDS",45722,49003,3282,"+",,"PLF_561_00000193","PGF_00065674",,1093,,"Uncharacterized protein YphG, TPR-domain containing",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.443",,,"PATRIC.562.123410.562.123410.con.0001.CDS.458791.460347.rev","PATRIC","CDS",458791,460347,1557,"-",,"PLF_561_00000443","PGF_02927036",,518,,"c-di-GMP phosphodiesterase (EC 3.1.4.52) => PdeN","GO:0071111|cyclic-guanylate-specific phosphodiesterase activity"
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.444",,,"PATRIC.562.123410.562.123410.con.0001.CDS.460528.461094.rev","PATRIC","CDS",460528,461094,567,"-",,"PLF_561_00001639","PGF_00023404",,188,,"Murein DD-endopeptidase MepS @ Murein LD-carboxypeptidase (EC 3.4.17.13)",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.445",,,"PATRIC.562.123410.562.123410.con.0001.CDS.461506.462219.rev","PATRIC","CDS",461506,462219,714,"-",,"PLF_561_00000633","PGF_00017054",,237,,"Lipid A 1-diphosphate synthase",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.446",,,"PATRIC.562.123410.562.123410.con.0001.CDS.462258.463244.rev","PATRIC","CDS",462258,463244,987,"-",,"PLF_561_00002676","PGF_03944935",,328,,"Zinc-binding GTPase YeiR",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.2",,,"PATRIC.562.123410.562.123410.con.0001.CDS.463.636.fwd","PATRIC","CDS",463,636,174,"+",,"PLF_561_00003502","PGF_02927666",,57,,"Transposase",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.447",,,"PATRIC.562.123410.562.123410.con.0001.CDS.463362.464828.rev","PATRIC","CDS",463362,464828,1467,"-",,"PLF_561_00000526","PGF_00064853",,488,,"Uncharacterized oxidoreductase YeiQ",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.448",,,"PATRIC.562.123410.562.123410.con.0001.CDS.465051.465623.rev","PATRIC","CDS",465051,465623,573,"-",,"PLF_561_00002561","PGF_08804878",,190,,"Elongation factor P-like protein",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.449",,,"PATRIC.562.123410.562.123410.con.0001.CDS.465778.466032.fwd","PATRIC","CDS",465778,466032,255,"+",,"PLF_561_00003154","PGF_06949038",,84,,"UPF0153 protein YeiW",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.450",,,"PATRIC.562.123410.562.123410.con.0001.CDS.466029.467210.rev","PATRIC","CDS",466029,467210,1182,"-",,"PLF_561_00000444","PGF_03086624",,393,,"Sugar efflux transporter B",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.451",,,"PATRIC.562.123410.562.123410.con.0001.CDS.467281.467412.rev","PATRIC","CDS",467281,467412,132,"-",,"PLF_561_00003299","PGF_00367025",,43,,"hypothetical protein",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.452",,,"PATRIC.562.123410.562.123410.con.0001.CDS.467577.468707.fwd","PATRIC","CDS",467577,468707,1131,"+",,"PLF_561_00001515","PGF_00006403",,376,,"PTS system, fructose-specific IIA component (EC 2.7.1.202) / Fructose-specific phosphocarrier protein HPr",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.9",,,"PATRIC.562.123410.562.123410.con.0001.CDS.4680.6035.rev","PATRIC","CDS",4680,6035,1356,"-",,"PLF_561_00001115","PGF_00414976",,451,,"CDP-diacylglycerol--serine O-phosphatidyltransferase (EC 2.7.8.8)","GO:0003882|CDP-diacylglycerol-serine O-phosphatidyltransferase activity"
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.453",,,"PATRIC.562.123410.562.123410.con.0001.CDS.468707.469645.fwd","PATRIC","CDS",468707,469645,939,"+",,"PLF_561_00001484","PGF_04655384",,312,,"1-phosphofructokinase (EC 2.7.1.56)","GO:0008662|1-phosphofructokinase activity"
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.454",,,"PATRIC.562.123410.562.123410.con.0001.CDS.469662.471353.fwd","PATRIC","CDS",469662,471353,1692,"+",,"PLF_561_00002205","PGF_00904010",,563,,"PTS system, inactive IIB catalytic domain / PTS system, fructose-specific IIB component (EC 2.7.1.202) / PTS system, fructose-specific IIC component",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.455",,,"PATRIC.562.123410.562.123410.con.0001.CDS.471809.472750.fwd","PATRIC","CDS",471809,472750,942,"+",,"PLF_561_00000337","PGF_03788061",,313,,"Pseudouridine kinase (EC 2.7.1.83)","GO:0050225|pseudouridine kinase activity"
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.456",,,"PATRIC.562.123410.562.123410.con.0001.CDS.472738.473676.fwd","PATRIC","CDS",472738,473676,939,"+",,"PLF_561_00000316","PGF_00038904",,312,,"Pseudouridine 5'-phosphate glycosidase (EC 4.2.1.70)","GO:0004730|pseudouridylate synthase activity"
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.457",,,"PATRIC.562.123410.562.123410.con.0001.CDS.473770.475020.fwd","PATRIC","CDS",473770,475020,1251,"+",,"PLF_561_00000348","PGF_00038918",,416,,"Pseudouridine transporter PsuT (putative)",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.458",,,"PATRIC.562.123410.562.123410.con.0001.CDS.475087.475785.rev","PATRIC","CDS",475087,475785,699,"-",,"PLF_561_00003144","PGF_00047366",,232,,"Regulatory protein YeiL",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.459",,,"PATRIC.562.123410.562.123410.con.0001.CDS.475915.476856.fwd","PATRIC","CDS",475915,476856,942,"+",,"PLF_561_00002996","PGF_00045929",,313,,"Pyrimidine-specific ribonucleoside hydrolase RihB (EC 3.2.2.8)","GO:0050263|ribosylpyrimidine nucleosidase activity"
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.460",,,"PATRIC.562.123410.562.123410.con.0001.CDS.477124.478212.rev","PATRIC","CDS",477124,478212,1089,"-",,"PLF_561_00000236","PGF_00065851",,362,,"Uncharacterized sugar kinase YeiI",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.461",,,"PATRIC.562.123410.562.123410.con.0001.CDS.478216.479073.rev","PATRIC","CDS",478216,479073,858,"-",,"PLF_561_00001830","PGF_00424337",,285,,"Endonuclease IV (EC 3.1.21.2)","GO:0008833|deoxyribonuclease IV (phage-T4-induced) activity"
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.462",,,"PATRIC.562.123410.562.123410.con.0001.CDS.479147.480196.rev","PATRIC","CDS",479147,480196,1050,"-",,"PLF_561_00002853","PGF_01365164",,349,,"UPF0324 inner membrane protein YeiH",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.463",,,"PATRIC.562.123410.562.123410.con.0001.CDS.480295.481176.fwd","PATRIC","CDS",480295,481176,882,"+",,"PLF_561_00002236","PGF_07173294",,293,,"Transcriptional regulator YeiE, LysR family",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.464",,,"PATRIC.562.123410.562.123410.con.0001.CDS.481381.482850.fwd","PATRIC","CDS",481381,482850,1470,"+",,"PLF_561_00001440","PGF_00018016",,489,,"Lysine-specific permease",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.465",,,"PATRIC.562.123410.562.123410.con.0001.CDS.483142.485133.fwd","PATRIC","CDS",483142,485133,1992,"+",,"PLF_561_00000187","PGF_01346254",,663,,"Colicin I receptor",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.466",,,"PATRIC.562.123410.562.123410.con.0001.CDS.485165.486001.rev","PATRIC","CDS",485165,486001,837,"-",,"PLF_561_00001775","PGF_00049363",,278,,"S-formylglutathione hydrolase (EC 3.1.2.12)","GO:0018738|S-formylglutathione hydrolase activity"
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.467",,,"PATRIC.562.123410.562.123410.con.0001.CDS.486259.486927.fwd","PATRIC","CDS",486259,486927,669,"+",,"PLF_561_00001518","PGF_02820109",,222,,"GTP cyclohydrolase I (EC 3.5.4.16) type 1","GO:0003934|GTP cyclohydrolase I activity"
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.468",,,"PATRIC.562.123410.562.123410.con.0001.CDS.486944.488101.fwd","PATRIC","CDS",486944,488101,1158,"+",,"PLF_561_00000767","PGF_00955312",,385,,"Uncharacterized protein YeiB",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.469",,,"PATRIC.562.123410.562.123410.con.0001.CDS.488243.489283.fwd","PATRIC","CDS",488243,489283,1041,"+",,"PLF_561_00001076","PGF_00021418",,346,,"Mgl repressor and galactose ultrainduction factor GalS, HTH-type transcriptional regulator",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.470",,,"PATRIC.562.123410.562.123410.con.0001.CDS.489563.490561.fwd","PATRIC","CDS",489563,490561,999,"+",,"PLF_561_00002299","PGF_05728830",,332,,"Galactose/methyl galactoside ABC transporter, substrate-binding protein MglB (EC 3.6.3.17)","GO:0015407|monosaccharide-transporting ATPase activity"
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.471",,,"PATRIC.562.123410.562.123410.con.0001.CDS.490622.492142.fwd","PATRIC","CDS",490622,492142,1521,"+",,"PLF_561_00000568","PGF_00007128",,506,,"Galactose/methyl galactoside ABC transporter, ATP-binding protein MglA (EC 3.6.3.17)","GO:0015407|monosaccharide-transporting ATPase activity"
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.48",,,"PATRIC.562.123410.562.123410.con.0001.CDS.49100.50083.fwd","PATRIC","CDS",49100,50083,984,"+",,"PLF_561_00000420","PGF_00036345",,327,,"Predicted sugar ABC transport system, periplasmic binding protein YphF precursor",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.472",,,"PATRIC.562.123410.562.123410.con.0001.CDS.492158.493168.fwd","PATRIC","CDS",492158,493168,1011,"+",,"PLF_561_00002184","PGF_00007133",,336,,"Galactose/methyl galactoside ABC transporter, permease protein MglC (EC 3.6.3.17)","GO:0015407|monosaccharide-transporting ATPase activity"
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.474",,,"PATRIC.562.123410.562.123410.con.0001.CDS.493411.494646.rev","PATRIC","CDS",493411,494646,1236,"-",,"PLF_561_00001140","PGF_00024414",,411,,"NAD-dependent dihydropyrimidine dehydrogenase subunit PreA (EC 1.3.1.1)","GO:0004159|dihydrouracil dehydrogenase (NAD+) activity"
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.475",,,"PATRIC.562.123410.562.123410.con.0001.CDS.494640.495878.rev","PATRIC","CDS",494640,495878,1239,"-",,"PLF_561_00001863","PGF_00024415",,412,,"NAD-dependent dihydropyrimidine dehydrogenase subunit PreT (EC 1.3.1.1)","GO:0004159|dihydrouracil dehydrogenase (NAD+) activity"
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.476",,,"PATRIC.562.123410.562.123410.con.0001.CDS.496072.496311.rev","PATRIC","CDS",496072,496311,240,"-",,"PLF_561_00002741","PGF_00065520",,79,,"Uncharacterized protein YeiS",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.477",,,"PATRIC.562.123410.562.123410.con.0001.CDS.496314.497033.rev","PATRIC","CDS",496314,497033,720,"-",,"PLF_561_00002522","PGF_08215614",,239,,"SanA protein",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.478",,,"PATRIC.562.123410.562.123410.con.0001.CDS.497183.498067.rev","PATRIC","CDS",497183,498067,885,"-",,"PLF_561_00003032","PGF_08837849",,294,,"Cytidine deaminase (EC 3.5.4.5)","GO:0004126|cytidine deaminase activity"
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.479",,,"PATRIC.562.123410.562.123410.con.0001.CDS.498197.498892.rev","PATRIC","CDS",498197,498892,696,"-",,"PLF_561_00001008","PGF_00014196",,231,,"Inner membrane protein YohK",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.480",,,"PATRIC.562.123410.562.123410.con.0001.CDS.498889.499287.rev","PATRIC","CDS",498889,499287,399,"-",,"PLF_561_00002148","PGF_00064295",,132,,"UPF0299 membrane protein YohJ",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.481",,,"PATRIC.562.123410.562.123410.con.0001.CDS.499526.500476.fwd","PATRIC","CDS",499526,500476,951,"+",,"PLF_561_00001807","PGF_00413340",,316,,"tRNA-dihydrouridine(16) synthase",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.49",,,"PATRIC.562.123410.562.123410.con.0001.CDS.50106.51617.fwd","PATRIC","CDS",50106,51617,1512,"+",,"PLF_561_00000666","PGF_00036337",,503,,"Predicted sugar ABC transport system, ATP-binding protein YphE",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.482",,,"PATRIC.562.123410.562.123410.con.0001.CDS.501090.502607.fwd","PATRIC","CDS",501090,502607,1518,"+",,"PLF_561_00000293","PGF_00042360",,505,,"Putative multidrug resistance outer membrane protein MdtQ",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.483",,,"PATRIC.562.123410.562.123410.con.0001.CDS.502660.503421.fwd","PATRIC","CDS",502660,503421,762,"+",,"PLF_561_00000273","PGF_00064856",,253,,"Uncharacterized oxidoreductase YohF",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.484",,,"PATRIC.562.123410.562.123410.con.0001.CDS.503541.504119.rev","PATRIC","CDS",503541,504119,579,"-",,"PLF_561_00002194","PGF_00014194",,192,,"Inner membrane protein YohC",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.485",,,"PATRIC.562.123410.562.123410.con.0001.CDS.504289.504876.fwd","PATRIC","CDS",504289,504876,588,"+",,"PLF_561_00001739","PGF_00014195",,195,,"Inner membrane protein YohC",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.486",,,"PATRIC.562.123410.562.123410.con.0001.CDS.505041.505982.fwd","PATRIC","CDS",505041,505982,942,"+",,"PLF_561_00002719","PGF_08592966",,313,,"Murein-DD-endopeptidase (EC 3.4.99.-)",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.487",,,"PATRIC.562.123410.562.123410.con.0001.CDS.506021.507736.rev","PATRIC","CDS",506021,507736,1716,"-",,"PLF_561_00000322","PGF_00420992",,571,,"D-lactate dehydrogenase (EC 1.1.1.28)","GO:0008720|D-lactate dehydrogenase activity"
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.488",,,"PATRIC.562.123410.562.123410.con.0001.CDS.507773.507931.rev","PATRIC","CDS",507773,507931,159,"-",,"PLF_561_00004024","PGF_00245876",,52,,"hypothetical protein",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.489",,,"PATRIC.562.123410.562.123410.con.0001.CDS.507962.510229.fwd","PATRIC","CDS",507962,510229,2268,"+",,"PLF_561_00000826","PGF_03096126",,755,,"Periplasmic beta-glucosidase (EC 3.2.1.21)","GO:0008422|beta-glucosidase activity"
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.490",,,"PATRIC.562.123410.562.123410.con.0001.CDS.510236.510388.fwd","PATRIC","CDS",510236,510388,153,"+",,"PLF_561_00104582","PGF_08225224",,50,,"FIG00640410: hypothetical protein",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.491",,,"PATRIC.562.123410.562.123410.con.0001.CDS.510419.511336.fwd","PATRIC","CDS",510419,511336,918,"+",,"PLF_561_00002326","PGF_05676783",,305,,"Osmoprotectant ABC transporter binding protein YehZ",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.492",,,"PATRIC.562.123410.562.123410.con.0001.CDS.511343.512500.fwd","PATRIC","CDS",511343,512500,1158,"+",,"PLF_561_00000793","PGF_06299558",,385,,"Osmoprotectant ABC transporter permease protein YehY",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.493",,,"PATRIC.562.123410.562.123410.con.0001.CDS.512493.513419.fwd","PATRIC","CDS",512493,513419,927,"+",,"PLF_561_00001017","PGF_02168439",,308,,"Osmoprotectant ABC transporter ATP-binding subunit YehX",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.494",,,"PATRIC.562.123410.562.123410.con.0001.CDS.513424.514155.fwd","PATRIC","CDS",513424,514155,732,"+",,"PLF_561_00001643","PGF_00027613",,243,,"Osmoprotectant ABC transporter inner membrane protein YehW",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.495",,,"PATRIC.562.123410.562.123410.con.0001.CDS.514136.514243.rev","PATRIC","CDS",514136,514243,108,"-",,"PLF_561_00009523","PGF_00064352",,35,,"UPF0387 membrane protein YohO",
"Escherichia coli Escherichia coli 19Y000018","562.123410","562.123410.con.0001","fig|562.123410.peg.496",,,"PATRIC.562.123410.562.123410.con.0001.CDS.514303.515034.rev","PATRIC","CDS",514303,515034,732,"-",,"PLF_561_00001629","PGF_00010735",,243,,"HTH-type transcriptional regulator MlrA",
