Family ID,Proteins,Genomes,Description,Min AA Length,Max AA Length,Mean,Std Dev
PGF_10462808,34,33,"33 kDa chaperonin HslO",96,303,284,38.29145197191727
PGF_00912265,50,50,"tRNA-dihydrouridine synthase DusB",281,426,336.58,33.48617027968412
PGF_00710545,55,50,"Lysyl-tRNA synthetase (class II) (EC 6.1.1.6)",39,687,541.9636363636364,132.23229747632672
PGF_10337703,2,2,"hypothetical protein",48,88,68,20
PGF_00109253,2,2,"hypothetical protein",75,75,75,0
PGF_02019716,1,1,"hypothetical protein",447,447,447,0
PGF_05735265,5,2,"hypothetical protein",151,297,267.8,58.4
PGF_00359765,1,1,"hypothetical protein",92,92,92,0
PGF_06766676,1,1,"hypothetical protein",49,49,49,0
PGF_01125767,2,2,"hypothetical protein",125,271,198,73
PGF_02020928,1,1,"hypothetical protein",402,402,402,0
PGF_04788810,50,50,"Peptidyl-tRNA hydrolase (EC 3.1.1.29)",163,233,194.9,12.408464852672148
PGF_08675943,52,50,"Transcription-repair coupling factor",130,1203,1089.423076923077,213.9593191162432
PGF_10409443,23,23,"FIG006789: Stage V sporulation protein",173,574,531.8695652173913,77.7925358819302
PGF_00048932,32,32,"Ribosome-associated heat shock protein implicated in the recycling of the 50S subunit (S4 paralog)",71,99,82.375,5.824248878610872
PGF_00416927,30,30,"Cell division protein DivIC (FtsB), stabilizes FtsL against RasP cleavage",66,203,126.56666666666666,40.01140115294917
PGF_00046199,8,8,"RNA binding protein, contains ribosomal protein S1 domain",53,179,149.5,37.20551034457127
PGF_02044183,1,1,"hypothetical protein",50,50,50,0
PGF_02963835,2,2,"hypothetical protein",52,336,194,142
PGF_06793569,1,1,"hypothetical protein",194,194,194,0
PGF_00025445,6,5,"Neutral endopeptidase O (EC 3.4.24.-)",615,638,632,7.852812659593164
PGF_06701488,37,35,"RNA-binding protein Jag",115,322,226.51351351351352,53.47372258010603
PGF_00586606,8,8,"Organic hydroperoxide resistance transcriptional regulator",141,169,152.25,9.216154295583381
PGF_01576457,3,3,"Hydrolase, haloacid dehalogenase-like family",267,268,267.6666666666667,0.4714045207910317
PGF_02013834,1,1,"hypothetical protein",43,43,43,0
PGF_02014000,1,1,"hypothetical protein",74,74,74,0
PGF_00059692,4,4,"Transcriptional regulator, MerR family",137,154,146,6.123724356957945
PGF_01662006,77,36,"Transcriptional regulator, PadR family",89,201,111.3896103896104,14.077850193902831
PGF_02011845,1,1,"membrane protein-like protein",209,209,209,0
PGF_02013999,1,1,"hypothetical protein",64,64,64,0
PGF_12958108,1,1,"hypothetical protein",85,85,85,0
PGF_02032386,1,1,"hypothetical protein",38,38,38,0
PGF_00126225,1,1,"hypothetical protein",60,60,60,0
PGF_02011717,1,1,"hypothetical protein",166,166,166,0
PGF_02025492,1,1,"hypothetical protein",37,37,37,0
PGF_06938364,9,8,"Isochorismatase (EC 3.3.2.1)",124,183,167.77777777777777,16.605071365752345
PGF_01304942,7,5,"Integral membrane protein",584,603,594.2857142857143,6.712765785411846
PGF_02013835,1,1,"hypothetical protein",290,290,290,0
PGF_02012626,1,1,"hypothetical protein",149,149,149,0
PGF_00206265,1,1,"hypothetical protein",401,401,401,0
PGF_02019718,1,1,"hypothetical protein",76,76,76,0
PGF_05922432,24,22,"3-dehydroquinate dehydratase I (EC 4.2.1.10)",192,264,250.41666666666666,12.549623721672118
PGF_00051550,34,22,"Shikimate/quinate 5-dehydrogenase I beta (EC 1.1.1.282)",268,313,291.44117647058823,6.278774592276971
PGF_04481164,8,8,"Veg protein",77,85,81.75,2.436698586202241
PGF_00049827,50,50,"SSU rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase (EC 2.1.1.182)",262,459,292.34,26.538733956238385
PGF_00048566,14,14,"Ribonuclease M5 (EC 3.1.26.8)",174,205,189.5,8.491592480632997
PGF_02472178,51,50,"Uncharacterized metal-dependent hydrolase YcfH",114,319,261.6470588235294,35.020903298174204
PGF_08454293,26,26,"N-acetylglucosamine-1-phosphate uridyltransferase (EC 2.7.7.23) / Glucosamine-1-phosphate N-acetyltransferase (EC 2.3.1.157)",246,469,417,79.9254460298904
PGF_03609651,50,50,"Methionyl-tRNA synthetase (EC 6.1.1.10)",550,688,652.24,27.95178706272642
PGF_10024837,54,48,"NAD-dependent protein deacetylase of SIR2 family",46,273,224.12962962962962,48.78715916983511
PGF_02977685,9,9,"Hydroxymethylglutaryl-CoA reductase (EC 1.1.1.34)",403,426,418.55555555555554,8.288024977320674
PGF_02013703,1,1,"ABC transporter, substrate-binding protein (cluster 3, basic aa/glutamine/opines)",259,259,259,0
PGF_00038971,10,10,"Pur operon repressor PurR",264,282,275.9,5.61159513863928
PGF_00007806,6,6,"Glucan 1,6-alpha-glucosidase (EC 3.2.1.70)",538,541,540,1.1547005383792515
PGF_00048782,77,49,"Ribose-phosphate pyrophosphokinase (EC 2.7.6.1)",238,405,349.2857142857143,39.61826193859658
PGF_02862285,48,46,"Argininosuccinate synthase (EC 6.3.4.5)",65,447,400.6458333333333,50.652611640193065
PGF_02620298,47,46,"Argininosuccinate lyase (EC 4.3.2.1)",417,580,463.4255319148936,23.46726527763053
PGF_06728837,43,39,"Glycerate kinase (EC 2.7.1.31)",40,414,351,83.56476391064514
PGF_08093375,6,6,"Diphosphocytidyl-sugar kinase",283,292,288.5,3.095695936834452
PGF_00295226,6,4,"Purine nucleoside ABC transporter, substrate-binding protein",333,365,353,11.775681155103795
PGF_00733848,1,1,"Endonuclease/exonuclease/phosphatase",285,285,285,0
PGF_06696062,1,1,"hypothetical protein",38,38,38,0
PGF_00003254,8,8,"Heterodimeric efflux ABC transporter, multidrug resistance => LmrD subunit of LmrCD",568,593,587,7.762087348130012
PGF_03523885,8,8,"Heterodimeric efflux ABC transporter, multidrug resistance => LmrC subunit of LmrCD",572,577,574.5,1.9364916731037085
PGF_06863675,28,26,"Beta-phosphoglucomutase (EC 5.4.2.6)",213,283,229.28571428571428,14.992515139364762
PGF_00019104,14,12,"Maltose phosphorylase (EC 2.4.1.8)",322,772,700.7142857142857,140.05173971043118
PGF_02014090,1,1,"hypothetical protein",66,66,66,0
PGF_07008246,15,13,"Maltose operon transcriptional repressor MalR, LacI family",311,375,342.1333333333333,16.140494278539165
PGF_02032384,1,1,"hypothetical protein",50,50,50,0
PGF_02032385,1,1,"hypothetical protein",41,41,41,0
PGF_01670678,3,3,"Purine nucleoside ABC transporter, permease protein 2",318,319,318.3333333333333,0.4714045207910317
PGF_07489704,39,38,"DJ-1/YajL/PfpI superfamily, includes chaperone protein YajL (former ThiJ), parkinsonism-associated protein DJ-1, peptidases PfpI, Hsp31",120,210,184.17948717948718,11.961201798103895
PGF_02896192,4,4,"Purine nucleoside ABC transporter, permease protein 1",349,383,367.75,13.88119231190174
PGF_01675349,3,3,"Purine nucleoside ABC transporter, ATP-binding protein",506,514,510.6666666666667,3.39934634239519
PGF_08149255,9,9,"FtsW-like protein YlaO",365,410,393.3333333333333,12.47219128924647
PGF_02010176,1,1,"UPF0358 protein YlaN",96,96,96,0
PGF_06887246,54,49,"DNA internalization-related competence protein ComEC/Rec2",174,850,626.4444444444445,170.4802222336641
PGF_00007041,50,50,"GTP-binding protein TypA/BipA",581,666,613.7,15.275143207184671
PGF_10300175,28,28,"Inositol-1-monophosphatase (EC 3.1.3.25)",40,493,267.4642857142857,62.45425877212467
PGF_02011114,5,5,"UPF0223 protein YktA",91,96,93.6,1.7435595774162693
PGF_00030655,84,49,"Peptide deformylase (EC 3.5.1.88)",56,218,163.58333333333334,26.338550568164266
PGF_02012525,1,1,"FIG00745386: hypothetical protein",161,161,161,0
PGF_00038255,9,9,"Protein of unknown function DUF1447",70,77,72.11111111111111,2.3306863292670035
PGF_00048564,10,10,"Ribonuclease J1 (endonuclease and 5' exonuclease)",525,610,564.8,22.780693580310498
PGF_09201380,26,26,"DNA polymerase III delta subunit (EC 2.7.7.7)",267,353,331.0769230769231,15.740499153758353
PGF_06528370,2,2,"Transcriptional regulator",320,329,324.5,4.5
PGF_02704803,12,12,"dCMP deaminase (EC 3.5.4.12) @ Late competence protein ComEB",149,163,158.33333333333334,4.089281382128432
PGF_07824136,28,28,"Late competence protein ComEA, DNA receptor",96,293,210.57142857142858,40.14120484652413
PGF_03574598,13,12,"Lon-like protease with PDZ domain",178,360,303.3076923076923,58.91765389786326
PGF_04762552,50,50,"Phosphopantetheine adenylyltransferase (EC 2.7.7.3)",150,185,161.54,5.943769847495779
PGF_07133621,50,50,"16S rRNA (guanine(966)-N(2))-methyltransferase (EC 2.1.1.171)",162,234,185.68,11.521180495070807
PGF_02645954,4,4,"UPF0298 protein YlbG",92,123,108,11.895377253370318
PGF_02013812,1,1,"hypothetical protein",366,366,366,0
PGF_00045963,9,8,"Pyruvate carboxylase (EC 6.4.1.1)",553,1153,1017.1111111111111,239.14683747970244
PGF_04203941,1,1,"hypothetical protein",46,46,46,0
PGF_02013828,1,1,"hypothetical protein",254,254,254,0
PGF_02014161,1,1,"hypothetical protein",244,244,244,0
PGF_03244749,24,23,"Bis-ABC ATPase SPy1206",509,518,516.25,2.2958295523259853
PGF_02081147,40,30,"Auxin efflux carrier family protein",39,368,306.825,53.899391230328376
PGF_02049344,2,2,"hypothetical protein",46,46,46,0
PGF_05138697,1,1,"hypothetical protein",45,45,45,0
PGF_00038700,8,5,"Protein tyrosine/serine phosphatase",252,267,261.375,4.741769184597665
PGF_02818638,97,49,"Hemolysins and related proteins containing CBS domains",120,546,405.35051546391753,69.51333644009087
PGF_10048015,52,50,"Inosine-5'-monophosphate dehydrogenase (EC 1.1.1.205) / CBS domain",228,528,477.0769230769231,48.78084671176956
PGF_06535427,53,31,"Uncharacterized DUF1113 membrane protein family",138,662,325,118.80585081838034
PGF_02011055,1,1,"hypothetical protein",159,159,159,0
PGF_02621603,9,9,"Non-specific ribonucleoside hydrolase RihC",303,311,306.3333333333333,2.160246899469287
PGF_02013790,1,1,"hypothetical protein",264,264,264,0
PGF_06941403,50,50,"SSU ribosomal protein S12p (S23e)",37,142,125.8,24.66657657641206
PGF_00049904,49,49,"SSU ribosomal protein S7p (S5e)",127,158,153.46938775510205,7.775162025521743
PGF_00060409,50,50,"Translation elongation factor G",691,715,702.84,5.341760009584855
PGF_03889881,7,7,"Transcriptional regulator CtsR",155,156,155.14285714285714,0.34992710611188255
PGF_03999196,46,45,"ATP-dependent Clp protease, ATP-binding subunit ClpC",636,892,828.1304347826087,34.813546024033315
PGF_02012548,1,1,"hypothetical protein",45,45,45,0
PGF_02797402,52,50,"DNA-directed RNA polymerase beta subunit (EC 2.7.7.6)",292,1368,1188.25,211.87113962900258
PGF_02704551,50,50,"DNA-directed RNA polymerase beta' subunit (EC 2.7.7.6)",522,1444,1268.68,136.32291663546522
PGF_00069345,44,27,"Na(+)-dependent branched-chain amino acid transporter",76,470,384.1136363636364,111.2307625673865
PGF_05180306,1,1,"hypothetical protein",49,49,49,0
PGF_08861326,13,12,"Aspartate aminotransferase (AspB-4) (EC 2.6.1.1)",392,408,397.0769230769231,4.340534147589503
PGF_00115765,6,6,"Uncharacterized transcriptional response regulator YrkP",140,257,224.16666666666666,38.44223660969215
PGF_02013768,1,1,"Two-component system sensor histidine kinase",198,198,198,0
PGF_02900929,2,2,"Alcohol dehydrogenase (EC 1.1.1.1); Acetaldehyde dehydrogenase (EC 1.2.1.10)",462,464,463,1
PGF_02020906,1,1,"hypothetical protein",46,46,46,0
PGF_04792526,92,43,"O-acetylhomoserine sulfhydrylase (EC 2.5.1.49) @ O-succinylhomoserine sulfhydrylase (EC 2.5.1.48)",53,751,403.17391304347825,94.92601337422147
PGF_02013855,1,1,"hypothetical protein",177,177,177,0
PGF_12811849,9,9,"Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase and related deacylases",407,455,443.77777777777777,15.823876318032667
PGF_04109427,1,1,"hypothetical protein",37,37,37,0
PGF_02146256,20,15,"Sialic acid utilization regulator, RpiR family",263,290,278.35,6.8794985282359065
PGF_00416196,6,6,"Calcium-transporting ATPase (EC 3.6.3.8)",886,891,888.6666666666666,1.8856180831641267
PGF_02046570,1,1,"hypothetical protein",42,42,42,0
PGF_06122323,31,30,"ATP-dependent helicase/nuclease AddAB, subunit B",112,1245,1108.2903225806451,190.77552990248347
PGF_00019221,34,33,"ATP-dependent helicase/nuclease AddAB, subunit A",190,1371,1190.764705882353,189.8857332595099
PGF_00989393,2,2,"Phosphoglycerate mutase",217,220,218.5,1.5
PGF_02015878,1,1,"hypothetical protein",145,145,145,0
PGF_07052751,1,1,"hypothetical protein",119,119,119,0
PGF_00006351,22,13,"Efflux ABC transporter, permease protein",210,538,316.77272727272725,90.80695398790768
PGF_02019753,1,1,"hypothetical protein",72,72,72,0
PGF_02013756,1,1,"Putative membrane-spanning protein",155,155,155,0
PGF_00138365,1,1,"hypothetical protein",49,49,49,0
PGF_03854585,68,40,"alpha-galactosidase (EC 3.2.1.22)",60,948,712.4411764705883,132.3858423158411
PGF_06227277,1,1,"hypothetical protein",42,42,42,0
PGF_02011673,1,1,"AraC-like transcriptional regulator (HTH and ligand binding domain)",274,274,274,0
PGF_02032378,1,1,"hypothetical protein",43,43,43,0
PGF_03148469,10,2,"ISSth1, transposase (orf1), IS3 family",86,237,191.6,50.864919148662764
PGF_00421277,14,8,"DNA helicase",687,772,758.3571428571429,20.194083797195734
PGF_02032379,1,1,"hypothetical protein",41,41,41,0
PGF_00025195,5,5,"Na(+)/H(+) antiporter",592,623,610.8,10.759182125050211
PGF_00021759,2,2,"ATPase component STY3232 of energizing module of queuosine-regulated ECF transporter",85,278,181.5,96.5
PGF_00060525,5,5,"Transmembrane component STY3231 of energizing module of queuosine-regulated ECF transporter",255,263,259.6,3.2
PGF_00054410,14,12,"Substrate-specific component STY3230 of queuosine-regulated ECF transporter",83,214,189.42857142857142,31.070689646386043
PGF_04650634,1,1,"hypothetical protein",43,43,43,0
PGF_01625234,75,49,"Thioredoxin reductase (EC 1.8.1.9)",226,406,312.76,23.181509873172626
PGF_10294766,52,30,"Glutamine amidotransferase, class I",63,586,233.92307692307693,83.35393630912012
PGF_00047273,1,1,"Regulatory protein ArsR",219,219,219,0
PGF_00416621,2,2,"3'-to-5' oligoribonuclease B, Bacillus type",363,364,363.5,0.5
PGF_03741671,42,24,"Phosphoglycerate mutase family protein",75,266,206.76190476190476,35.027070839708784
PGF_10550392,8,5,"flavoprotein subunit related to the succinate dehydrogenases and fumarate reductases",179,812,272.875,206.60011949415713
PGF_06690407,48,38,"FAD:protein FMN transferase (EC 2.7.1.180)",85,377,308.1875,66.42842521905312
PGF_00021791,6,6,"ATPase component STY3233 of energizing module of queuosine-regulated ECF transporter",254,274,264.6666666666667,7.475887164001934
PGF_06473573,5,5,"DNA adenine methylase (EC 2.1.1.72)",276,639,353.6,142.81680573377912
PGF_02032377,1,1,"hypothetical protein",49,49,49,0
PGF_00006935,59,49,"GMP synthase [glutamine-hydrolyzing], amidotransferase subunit (EC 6.3.5.2) / GMP synthase [glutamine-hydrolyzing], ATP pyrophosphatase subunit (EC 6.3.5.2)",430,538,503.08474576271186,32.189738408903985
PGF_04449783,10,10,"Pantothenate kinase (EC 2.7.1.33)",255,316,303.1,16.355121522018724
PGF_00064218,16,14,"UPF0145 protein YbjQ",42,417,119.125,79.3385743191797
PGF_12790683,1,1,"hypothetical protein",52,52,52,0
PGF_02019752,1,1,"hypothetical protein",84,84,84,0
PGF_02012977,1,1,"hypothetical protein",53,53,53,0
PGF_04250154,1,1,"hypothetical protein",308,308,308,0
PGF_02015877,1,1,"hypothetical protein",63,63,63,0
PGF_05983943,1,1,"hypothetical protein",76,76,76,0
PGF_02023808,1,1,"hypothetical protein",442,442,442,0
PGF_10456344,29,29,"Protein translocase membrane subunit SecG",53,110,79.82758620689656,9.232883382395405
PGF_04962192,43,43,"3'-to-5' exoribonuclease RNase R",688,813,736.7906976744187,34.62661843386405
PGF_00413554,50,50,"tmRNA-binding protein SmpB",147,163,154.46,3.683530914760999
PGF_00417313,3,3,"Cell wall-binding protein",329,448,376.3333333333333,51.5385508354884
PGF_00046403,22,21,"RNA polymerase sigma-54 factor RpoN",400,507,463.40909090909093,30.007058398300362
PGF_00417381,8,8,"Central glycolytic genes regulator",317,345,340.125,8.79541784112614
PGF_05916158,1,1,"hypothetical protein",47,47,47,0
PGF_00024478,55,49,"NAD-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12)",117,352,333.27272727272725,34.1852996292822
PGF_00285620,60,49,"ATP-dependent Clp protease proteolytic subunit ClpP (EC 3.4.21.92)",155,239,204.43333333333334,15.513828956414624
PGF_02277678,50,50,"Phosphoglycerate kinase (EC 2.7.2.3)",289,444,402.04,18.707175094064844
PGF_04574228,60,50,"Triosephosphate isomerase (EC 5.3.1.1)",42,697,259.25,63.84215561314744
PGF_02516909,66,47,"Enolase (EC 4.2.1.11)",69,464,416.3333333333333,71.1132969992322
PGF_07370370,33,32,"Voltage-gated H(+)/2Cl(-) exchange transporter ClcA",226,575,502.5151515151515,67.94075904881073
PGF_00000294,2,2,"FIG00742757: hypothetical protein",83,84,83.5,0.5
PGF_00427033,9,9,"UPF0154 protein YneF",70,75,73.11111111111111,1.3698697784375504
PGF_02868070,8,8,"Efflux ABC transporter, permease/ATP-binding protein MdlA",583,590,586.375,2.057759704144291
PGF_01603398,9,8,"Efflux ABC transporter, permease/ATP-binding protein MdlB",302,602,532.4444444444445,121.86888319566248
PGF_03799365,57,50,"Translation elongation factor P",185,191,186.5438596491228,1.5567642492265976
PGF_04602494,2,2,"FIG001802: Putative alkaline-shock protein",140,143,141.5,1.5
PGF_10450086,49,49,"Transcription termination protein NusB",41,355,175.18367346938774,71.75288473739768
PGF_00020984,54,50,"Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9) / Methylenetetrahydrofolate dehydrogenase (NADP+) (EC 1.5.1.5)",231,297,284.7037037037037,8.904076531295736
PGF_00425024,51,50,"Exodeoxyribonuclease VII large subunit (EC 3.1.11.6)",179,482,417.921568627451,47.21201373248829
PGF_03750541,23,19,"Aminopeptidase YpdF (MP-, MA-, MS-, AP-, NP- specific)",152,369,340.5217391304348,56.43840009843542
PGF_05076104,34,34,"Exodeoxyribonuclease VII small subunit (EC 3.1.11.6)",64,105,79.3529411764706,12.090059973921154
PGF_06784545,32,32,"(2E,6E)-farnesyl diphosphate synthase (EC 2.5.1.10)",248,314,293.875,10.6909716583667
PGF_00011463,34,33,"RNA binding methyltransferase FtsJ like",69,310,260.44117647058823,38.983549453938664
PGF_00421796,51,49,"DNA repair protein RecN",98,616,538.7843137254902,87.36296018773815
PGF_03810679,41,37,"SOS-response repressor and protease LexA (EC 3.4.21.88)",194,241,211.41463414634146,12.303034743125021
PGF_02019740,1,1,"hypothetical protein",41,41,41,0
PGF_04807486,58,50,"tRNA dimethylallyltransferase (EC 2.5.1.75)",294,422,314.58620689655174,18.016309165786257
PGF_02015871,1,1,"hypothetical protein",44,44,44,0
PGF_00049731,30,28,"Aluminum resistance protein",334,435,422.7,17.397605199183783
PGF_00059993,5,5,"Transcriptional regulator, repressor of the glutamine synthetase, MerR family",120,128,124.4,3.6660605559646715
PGF_00275905,54,45,"Glutamine synthetase type I (EC 6.3.1.2)",36,500,444.4074074074074,63.60628856591395
PGF_02011026,15,12,"Uncharacterized membrane protein YfhO-like",821,920,865.4,22.431525434827954
PGF_00065678,10,10,"Uncharacterized protein YqgF",660,708,689.8,14.260434775980709
PGF_04457297,46,46,"5-formyltetrahydrofolate cyclo-ligase (EC 6.3.3.2)",106,249,185.34782608695653,27.87254952481442
PGF_00048419,4,4,"Rhomboid protease GlpG (EC 3.4.21.105)",219,274,234,23.140872930812268
PGF_02054288,9,9,"Uncharacterized protein YqgQ",72,84,77.55555555555556,4.030746032714901
PGF_00007844,27,27,"Glucokinase (EC 2.7.1.2)",309,321,314.6666666666667,3.790827135384885
PGF_04713899,9,9,"Rhodanese-like domain protein",132,144,136.11111111111111,3.510126444206959
PGF_02049637,4,4,"Uncharacterized protein SPy0919",58,59,58.5,0.5
PGF_01330610,16,13,"Membrane protein",144,267,237.0625,31.12970596953977
PGF_07632178,1,1,"hypothetical protein",195,195,195,0
PGF_02029769,1,1,"hypothetical protein",170,170,170,0
PGF_02011737,1,1,"hypothetical protein",232,232,232,0
PGF_02013859,1,1,"hypothetical protein",57,57,57,0
PGF_04493258,49,37,"Cobalt-zinc-cadmium resistance protein",82,485,336.46938775510205,67.28589688807989
PGF_02013733,1,1,"MAEBL, putative",364,364,364,0
PGF_00062045,50,50,"Tryptophanyl-tRNA synthetase (EC 6.1.1.2)",130,380,349.14,34.495222857665375
PGF_00549380,60,48,"4-hydroxy-tetrahydrodipicolinate synthase (EC 4.3.3.7)",95,318,283.5,42.123825403999895
PGF_00421964,4,4,"DNA-binding heavy metal response regulator",228,228,228,0
PGF_00049847,50,50,"SSU ribosomal protein S15p (S13e)",47,99,87,8.411896337925237
PGF_02454577,50,50,"SSU ribosomal protein S20p",57,90,84.62,5.4950523200420935
PGF_02013811,1,1,"hypothetical protein",65,65,65,0
PGF_00427299,35,29,"6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)",67,669,442.1714285714286,110.74461888617837
PGF_00016338,66,49,"ATP-dependent Clp protease ATP-binding subunit ClpX",408,544,440.56060606060606,30.21144113395232
PGF_02452671,71,50,"Cell division trigger factor (EC 5.2.1.8)",41,474,417.23943661971833,65.60927124211973
PGF_00060428,52,50,"Translation elongation factor Tu",394,403,396.36538461538464,2.15753461647821
PGF_02013718,1,1,"FIG00742723: hypothetical protein",295,295,295,0
PGF_06848757,17,17,"Ribonuclease J2 (endoribonuclease in RNA processing)",560,659,596.3529411764706,27.53808309888772
PGF_02013988,1,1,"hypothetical protein",49,49,49,0
PGF_04782177,1,1,"hypothetical protein",249,249,249,0
PGF_02048303,1,1,"hypothetical protein",37,37,37,0
PGF_02013797,1,1,"hypothetical protein",400,400,400,0
PGF_00914937,3,3,"Transcriptional regulator",380,401,388.3333333333333,9.104333522498441
PGF_00958483,1,1,"Bis-ABC ATPase",466,466,466,0
PGF_02019722,1,1,"hypothetical protein",126,126,126,0
PGF_00982352,15,15,"Ribosome protection-type tetracycline resistance related proteins, group 2",639,751,673,38.10161851330378
PGF_00660064,47,31,"Galactoside O-acetyltransferase (EC 2.3.1.18)",55,224,184.12765957446808,44.231315094036496
PGF_02013798,1,1,"hypothetical protein",99,99,99,0
PGF_00054343,40,34,"Substrate-specific component BioY of biotin ECF transporter",56,219,184.8,24.878906728391424
PGF_02048556,1,1,"hypothetical protein",37,37,37,0
PGF_02015886,1,1,"hypothetical protein",38,38,38,0
PGF_02013857,1,1,"hypothetical protein",140,140,140,0
PGF_00007057,44,42,"tRNA-5-carboxymethylaminomethyl-2-thiouridine(34) synthesis protein MnmE",88,500,440.75,76.53968816004128
PGF_00413300,44,43,"tRNA-5-carboxymethylaminomethyl-2-thiouridine(34) synthesis protein MnmG",615,663,632.1590909090909,9.643516856177103
PGF_05921532,1,1,"hypothetical protein",44,44,44,0
PGF_03742559,22,22,"Substrate-specific component QueT (COG4708) of predicted queuosine-regulated ECF transporter",161,182,167.04545454545453,5.11217150735978
PGF_05374369,5,5,"hypothetical protein",74,75,74.4,0.4898979485566356
PGF_01674977,23,18,"ABC transporter-like sensor and permease protein",111,716,603.3913043478261,162.78252740614843
PGF_10399211,1,1,"Two-component system sensor histidine kinase",318,318,318,0
PGF_12210508,1,1,"hypothetical protein",46,46,46,0
PGF_02013830,2,2,"hypothetical protein",332,333,332.5,0.5
PGF_02013831,1,1,"hypothetical protein",198,198,198,0
PGF_02013853,1,1,"hypothetical protein",155,155,155,0
PGF_00010627,5,5,"HIT family protein",152,339,194.4,72.76427694961313
PGF_02013793,1,1,"hypothetical protein",57,57,57,0
PGF_07649560,1,1,"hypothetical protein",39,39,39,0
PGF_10404812,1,1,"hypothetical protein",222,222,222,0
PGF_02016244,1,1,"hypothetical protein",38,38,38,0
PGF_02025074,1,1,"hypothetical protein",37,37,37,0
PGF_00036014,1,1,"Predicted membrane protein",84,84,84,0
PGF_02013832,1,1,"hypothetical protein",43,43,43,0
PGF_00220548,30,29,"Thiol peroxidase, Bcp-type (EC 1.11.1.15)",135,185,154.4,10.700778787857764
PGF_00007012,50,50,"GTP-binding and nucleic acid-binding protein YchF",340,377,365.26,4.8282916233384245
PGF_06429692,31,31,"Uncharacterized protein CAC3725",59,87,66.25806451612904,7.255555121758082
PGF_03475877,117,48,"Chromosome (plasmid) partitioning protein ParB",37,644,309.46153846153845,104.0906523436444
PGF_04370656,94,47,"Chromosome (plasmid) partitioning protein ParA",65,327,257.01063829787233,34.16682934151412
PGF_04872827,10,10,"Chromosome (plasmid) partitioning protein ParB-2",263,311,278.3,12.570202862324855
PGF_00000301,2,2,"FIG00744093: hypothetical protein",247,248,247.5,0.5
PGF_00008838,49,49,"16S rRNA (guanine(527)-N(7))-methyltransferase (EC 2.1.1.170)",57,259,224.9591836734694,36.380617840213375
PGF_02012539,1,1,"Putative exported protein precursor",304,304,304,0
PGF_00047955,10,10,"Response regulator of the LytR/AlgR family",147,157,152,2.6457513110645907
PGF_09223201,37,27,"Maltodextrin ABC transporter, ATP-binding protein MsmX",360,399,370.2972972972973,6.066589339069492
PGF_02032380,1,1,"hypothetical protein",39,39,39,0
PGF_02013727,1,1,"Helix-turn-helix, Fis-type",282,282,282,0
PGF_00357220,1,1,"hypothetical protein",249,249,249,0
PGF_01284275,6,6,"hypothetical protein",188,217,199.5,9.810708435174291
PGF_03004613,51,50,"Histidyl-tRNA synthetase (EC 6.1.1.21)",73,487,423.2156862745098,54.39590300514105
PGF_06589185,40,38,"Aspartyl-tRNA synthetase (EC 6.1.1.12)",37,693,558.15,125.4710225510257
PGF_06573134,1,1,"Phage protein",32,32,32,0
PGF_02013800,1,1,"hypothetical protein",59,59,59,0
PGF_06612980,1,1,"hypothetical protein",105,105,105,0
PGF_09316422,20,20,"UPF0213 protein YazA",73,171,93.55,20.328489860292134
PGF_05969969,37,36,"tRNA(1)(Val) (adenine(37)-N(6))-methyltransferase (EC 2.1.1.223)",118,260,238.6216216216216,21.931529015048426
PGF_00030776,9,9,"Acyl-ACP:1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.n4)",149,216,202.77777777777777,19.46379989038213
PGF_09954313,58,47,"Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8)",61,311,201.89655172413794,47.494351626117144
PGF_08055739,24,21,"DedA protein",70,249,212.45833333333334,40.526718724263326
PGF_03685660,18,18,"Uncharacterized MFS-type transporter YxiO",395,464,429.8333333333333,16.882765702863313
PGF_00007479,5,5,"General stress protein 13",119,133,126,6.06630035524124
PGF_01033123,78,50,"UDP-glucose 4-epimerase (EC 5.1.3.2)",42,353,313.8974358974359,58.29975364850747
PGF_06775896,1,1,"hypothetical protein",47,47,47,0
PGF_10317450,1,1,"hypothetical protein",99,99,99,0
PGF_07410757,64,41,"Aldose 1-epimerase (EC 5.1.3.3)",165,395,349,29.842293812641145
PGF_04881511,1,1,"hypothetical protein",73,73,73,0
PGF_01024695,14,11,"Uncharacterized DUF554 membrane protein",46,241,215.35714285714286,50.0108661662031
PGF_12575984,1,1,"hypothetical protein",50,50,50,0
PGF_02009954,2,1,"hypothetical protein",50,51,50.5,0.5
PGF_04679319,1,1,"hypothetical protein",40,40,40,0
PGF_05374406,1,1,"hypothetical protein",40,40,40,0
PGF_10391817,1,1,"3-oxoacyl-[acyl-carrier protein] reductase paralog (EC 1.1.1.100) in cluster with unspecified monosaccharide transporter",242,242,242,0
PGF_00002482,2,2,"FIG015094: hypothetical protein",78,79,78.5,0.5
PGF_02009513,1,1,"hypothetical protein",92,92,92,0
